"","ID","tau","lrc","reset","sal","mem","zeta","dlrc","lp","sumll"
"ID","54240de1fdf99b691fb383a8","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-30.3729672541981","-17.1730233097565"
"ID1","54b60d74fdf99b1ce0367ab5","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-42.2292955149613","-25.2463677916059"
"ID2","55780ee6fdf99b4cbc0aef95","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-70.86176980731","-55.3262580532913"
"ID3","559cdad9fdf99b66f54b7794","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-54.8698340096037","-40.6151925834868"
"ID4","55a77810fdf99b444b9d255c","0.106583155826692","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-30.5911105278449","-13.2539974006321"
"ID5","55b95e2ffdf99b469f622883","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-71.1628606936718","-55.6273489396531"
"ID6","55d6d91d69dbc30005b66ffe","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-71.607382602101","-56.6356736467739"
"ID7","56051814e372c00011bd556a","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-27.262675524763","-13.5045113634462"
"ID8","560aef7d01c38a00127693d3","1.03239118471","0.01","1e-10","0.128572","0.999999","1e-06","1e-10","-61.2849115574298","-46.6526197404958"
"ID9","5687d434369319000c269c03","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-59.0358601946498","-43.7515429950986"
"ID10","56c81007ba8e37000d7b211e","4.69117278543542","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-70.8677865741919","-52.6039885229347"
"ID11","56f699e876348f000c883bba","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-76.0279915436246","-61.1445051722232"
"ID12","571de7af13b1b70009be2f26","1.03239118471","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-64.751260263073","-50.0296054147465"
"ID13","5744bbe15e549100063b08cb","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-52.0114709651005","-36.8113888662682"
"ID14","57611238eaf3f80007481e8e","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-65.5655699414961","-50.0300581874774"
"ID15","5778eeb20e49300001ba9ec0","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-75.37735878237","-59.8418470283513"
"ID16","577a6900f8f7ed00014b537b","0.484312542963499","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-36.3303145453424","-22.0357657244879"
"ID17","5784d25070c76a00012427e0","2.20071021028099","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-54.2677863999986","-37.3576837023312"
"ID18","579fb6f46475d400015ab855","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-47.5128894344273","-30.6624524820285"
"ID19","57f8a3ece480f5000136f588","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-50.296812623984","-34.9231323930402"
"ID20","5808ec7ff0740c0001789a1b","0.484312542963499","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-43.7036382382762","-29.4090894174217"
"ID21","584726b8f063d30001161e6a","2.20071021028099","0.01","1e-10","0.171429","0.999999","1e-06","1e-10","-74.8412445238523","-59.7717877953392"
"ID22","58513454b9f14b000151795f","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-62.4116228877594","-48.1569814616425"
"ID23","5870336cdb3e720001e230cd","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-54.073008985571","-39.8183675594542"
"ID24","587291591c35f20001955c45","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-79.5856606004266","-64.3675284873"
"ID25","587388b9db3e720001e2320e","4.69117278543542","0.29","1e-10","0.085715","0.999999","1e-06","1e-10","-62.4163677057102","-47.1023532200351"
"ID26","587620554254cb0001c15a23","4.69117278543542","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-83.119975443966","-66.4591414798627"
"ID27","5883d68d300c0b000113db56","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-53.337734473123","-38.2701431452474"
"ID28","58c3c197da66280001b3c6e8","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-56.2819227299055","-40.9082424989617"
"ID29","58cef97d5e07b6000139fa16","4.69117278543542","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-81.6183339301807","-65.3657546469518"
"ID30","58f364d67b2e410001c2ed1d","0.484312542963499","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-22.7970556904497","-6.62377887252346"
"ID31","58f89d1cedf274000143eb4e","0.05","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-17.9972339633802","-1.79498104710407"
"ID32","58fa6e1bd0055c0001dd838a","0.484312542963499","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-41.9108831147571","-27.6163342939026"
"ID33","590f202eea0e130001039e1f","4.69117278543542","0.15","1e-10","0.257143","0.999999","1e-06","1e-10","-58.1100429091163","-42.9591041119449"
"ID34","593ead9ea514380001e5cf86","2.20071021028099","0.57","1e-10","1e-06","0.999999","1e-06","1e-10","-46.061389524144","-28.7966106486476"
"ID35","595339f4ad2ce90001b88266","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-44.4259594578467","-27.4430317344912"
"ID36","5953d37b3d663c00011d233c","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-76.4274575306437","-60.891945776625"
"ID37","598ab1ed19432500016fafa1","4.69117278543542","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.7042921293847","-66.0434581652813"
"ID38","5991c4a8e339120001fb8c7e","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-59.2473018011332","-43.962984601582"
"ID39","5995ed90d1732a00013425c5","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-72.0516377588434","-57.0799288035163"
"ID40","599614af004c4f0001cc8642","1.03239118471","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-57.1540259843538","-42.4323711360272"
"ID41","59c80c180aaf750001213cbf","4.69117278543542","0.57","1e-10","1e-06","0.999999","1e-06","1e-10","-67.3546795576712","-48.809030354273"
"ID42","59d38d62323bd80001e200bc","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-78.6306752792077","-63.2507116430062"
"ID43","59d4b084115096000190dbce","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-51.4312586008424","-34.448330877487"
"ID44","59e5fd82e75b450001a691ec","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-38.9010907323386","-24.6464493062218"
"ID45","59e8cb08bab73300016bd7f7","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-64.3755656094222","-47.3926378860668"
"ID46","59e9d2c6c0d35a0001295448","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-49.2257698671333","-34.0256877683011"
"ID47","5a3996f6ae52e600010a0192","1.03239118471","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-69.1463705328087","-54.4247156844822"
"ID48","5a3a570307245d0001fc0692","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-67.1133130107273","-51.5778012567087"
"ID49","5a3c0b842f91ec0001dc9bb4","1.03239118471","0.01","1e-10","0.171429","0.999999","1e-06","1e-10","-65.2143882360977","-50.6414087723847"
"ID50","5a4e26a8f4c9dc0001b7a1b5","4.69117278543542","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-60.0295284446038","-44.5536824358537"
"ID51","5a5a3ec6ac5624000153e0f7","10","0.29","1e-10","0.171429","0.999999","1e-06","1e-10","-71.5902965795919","-52.6680471261331"
"ID52","5a5d1194acc75b00017a7b8f","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-72.1235724536444","-56.5880606996257"
"ID53","5a69d77a56585a0001633482","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-67.7991292161383","-52.4254489851946"
"ID54","5a6f7604ff6f2300013edcd8","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-72.9989978430859","-57.4634860890673"
"ID55","5a8b513317ef35000170b86f","4.69117278543542","0.15","1e-10","0.214286","0.999999","1e-06","1e-10","-55.5430042704668","-40.3605076023718"
"ID56","5a8c78b0ae9a0b0001aa27fd","4.69117278543542","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-71.0227676070282","-55.5469215982781"
"ID57","5a90460d1eda41000135f918","4.69117278543542","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-70.6251140014094","-52.4938067211088"
"ID58","5a94a3344eecca0001dd3c52","1.03239118471","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-29.9727607975506","-16.4657911907013"
"ID59","5a9d68a3dbdb470001eefb79","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-69.0649034879704","-53.5293917339517"
"ID60","5aa696af6219a30001c75d2a","1.03239118471","0.15","1e-10","0.214286","0.999999","1e-06","1e-10","-39.1308119049162","-25.7256628295231"
"ID61","5aa9528235237b0001132675","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-78.2821664457816","-62.7466546917629"
"ID62","5ab3bc131204f90001c965bd","0.484312542963499","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-26.5112199272868","-12.9337386356425"
"ID63","5ab4e55cf69e940001d8d3bf","4.69117278543542","0.29","1e-10","0.257143","0.999999","1e-06","1e-10","-54.1408726224206","-39.0495995705178"
"ID64","5ab5509cf69e940001d8d954","10","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-72.3062858443358","-53.4817841640631"
"ID65","5ac3b825e734400001da2436","2.20071021028099","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-39.9014326053695","-25.8086227023275"
"ID66","5ad3bfc75b53cb0001f35839","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-63.3137127504272","-47.9400325194834"
"ID67","5ad658e2a38d7b00013afe89","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.5863682309504","-67.2064045947489"
"ID68","5adf629ddee8590001b05f7b","4.69117278543542","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-71.045812225394","-52.9145049450934"
"ID69","5ae1a263066c510001d48146","0.227199382119539","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-45.1172309490186","-30.4565351393059"
"ID70","5ae59bec7edeb000014a828c","1.03239118471","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-24.8095941464953","-11.2132615082535"
"ID71","5ae9f13b9b283d00017ee04d","4.69117278543542","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-81.8052879985056","-65.3062855574772"
"ID72","5af344dfdf9933000161f47a","2.20071021028099","0.01","1e-10","0.128572","0.999999","1e-06","1e-10","-77.2229988749399","-62.0942297932058"
"ID73","5afc2d1f2406810001d625c0","1.03239118471","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-33.3152747302789","-16.9613150426802"
"ID74","5b1d5e16503f020001e684aa","2.20071021028099","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-63.1574092348179","-46.2473065371505"
"ID75","5b1ed2783522660001b464eb","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-76.8926054298406","-61.674473316714"
"ID76","5b1fe253b803da0001dfbc8d","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-32.1549536081412","-18.3967894468244"
"ID77","5b35bd1d532e3d00018e8b27","4.69117278543542","0.15","1e-10","0.257143","0.999999","1e-06","1e-10","-54.3360712890734","-39.185132491902"
"ID78","5b491b4eac6f5a0001549493","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-59.696770888202","-44.5695138150578"
"ID79","5b49d3a519f8e70001b7df02","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-58.6954707290579","-43.6278794011823"
"ID80","5b5d4bfc4e945800017db533","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-63.0315910828754","-47.6579108519317"
"ID81","5b5dfd9c4e945800017dcd79","4.69117278543542","0.15","1e-10","0.214286","0.999999","1e-06","1e-10","-69.1130019537334","-53.9305052856383"
"ID82","5b630cec6abdd90001d98c3f","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-75.4907525302088","-60.117072299265"
"ID83","5b707d214415ce0001b1fd78","2.20071021028099","0.57","1e-10","1e-06","0.999999","1e-06","1e-10","-45.1084935046908","-27.8437146291944"
"ID84","5b72d8042aeef10001972da0","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-27.1068030402333","-13.3486388789165"
"ID85","5b8fe19ae3a406000131f1a6","2.20071021028099","0.15","1e-10","0.257143","0.999999","1e-06","1e-10","-42.7543735833006","-28.884305114031"
"ID86","5b97a1e083bd380001b92485","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-43.196404723224","-28.9417632971072"
"ID87","5b9e1e607b196f000195b599","1.03239118471","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-33.66016440298","-17.3062047153813"
"ID88","5bb756696322c5000159756c","10","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-73.8540371469964","-54.8970446957671"
"ID89","5bbe3c5cee6586000142be43","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-49.6259178806743","-34.425835781842"
"ID90","5bc08c345e8a950001892156","0.227199382119539","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-21.6905811345157","-5.49974626333701"
"ID91","5bc642c0069008000139d18b","2.20071021028099","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-47.5543404181276","-33.4615305150857"
"ID92","5bdc3c8182698d0001f076c3","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-35.8648144399755","-22.6648704955339"
"ID93","5be1f75bd536990001a4410c","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-80.1160111929613","-65.1443022376342"
"ID94","5be2fadf5e9fd30001696162","0.05","0.01","1e-10","0.171429","0.999999","1e-06","1e-10","-15.641231903351","-1.21995921096054"
"ID95","5be415810241050001ca2318","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-80.1937796489051","-64.8138160127035"
"ID96","5bec2847ac6b780001fec122","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-42.5060981016642","-28.2514566755474"
"ID97","5bec6a8b1209fb00011bb521","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-55.2869197181324","-39.7514079641137"
"ID98","5beefb60e015710001cbb721","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-73.0994004558198","-57.5638887018011"
"ID99","5bf2f728bd9f150001f6cc42","1.03239118471","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-28.0671403685855","-11.7131806809868"
"ID100","5bf4123e840310000124cfca","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-71.8200600014823","-56.2845482474636"
"ID101","5bf44a04d7e7a70001d7a672","1.03239118471","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-65.4647512146297","-50.9895195241027"
"ID102","5bf4584fabf94600013a9fa1","2.20071021028099","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-45.834218113483","-32.0474971135092"
"ID103","5bf5b2627ea49f0001ba9372","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-58.6837734813364","-43.3100932503926"
"ID104","5bf728483db90d0001f48ff7","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-43.5626548932614","-29.3080134671445"
"ID105","5bfed3f1aa5fa3000136a998","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-39.8972245832285","-25.6425831571116"
"ID106","5c081c45fd9c080001709937","10","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-77.5223133250873","-58.565320873858"
"ID107","5c0843f24452300001df4ea0","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-51.0173670540792","-34.1669301016804"
"ID108","5c10377461df5c0001cb4906","2.20071021028099","0.01","1e-10","0.257143","0.999999","1e-06","1e-10","-75.5222706343866","-60.5268799550323"
"ID109","5c1129084be31a00014802fb","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-58.1622614912865","-42.6267497372678"
"ID110","5c1a54257fa1590001b96070","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-45.616962820379","-31.3623213942622"
"ID111","5c1a9e323407be0001cf8165","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-47.5314090280451","-33.2767676019283"
"ID112","5c23615d70d93a0001202ea2","10","0.15","1e-10","0.171429","0.999999","1e-06","1e-10","-75.4535578329227","-56.4716426341953"
"ID113","5c28b31a0091e40001ca5030","1.03239118471","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-47.8458243975127","-31.4321989646454"
"ID114","5c296b31e9b1b20001b8ac77","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-52.7918351445012","-38.5371937183844"
"ID115","5c36776624643200010eb6e5","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-67.1203669202435","-51.7466866892998"
"ID116","5c377f1965e5c300013ee88a","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-70.6982347666992","-55.1627230126805"
"ID117","5c3ce5cde0ea82000145f9f9","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-29.8536790118912","-16.0955148505744"
"ID118","5c3d9334337ac90001a4d6cf","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-28.835385140076","-15.0772209787592"
"ID119","5c3f7c6329966300010dce78","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-63.6437914562045","-48.5762001283289"
"ID120","5c47260028cab20001a74aae","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-79.9909201189049","-64.7727880057783"
"ID121","5c4783f5c41b2a000183a24d","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-66.6308317300396","-51.7473453586382"
"ID122","5c48f116c41b2a000183e340","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-40.3060905804922","-23.3231628571368"
"ID123","5c4b6366c547dc0001934854","2.20071021028099","0.57","1e-10","1e-06","0.999999","1e-06","1e-10","-47.5164624900869","-30.2516836145905"
"ID124","5c50ce81d99f9d0001b0f696","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-44.240788906403","-29.9861474802862"
"ID125","5c56eb0e59095a0001bac969","4.69117278543542","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-60.5897253186131","-42.3259272673559"
"ID126","5c576413a7890b0001f59a92","4.69117278543542","0.29","1e-10","0.085715","0.999999","1e-06","1e-10","-54.1555889773488","-38.8415744916737"
"ID127","5c5d4afe4cc94200016a4982","1.03239118471","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-72.0667073027371","-57.3450524544106"
"ID128","5c634aca9d0d7000012479a0","0.227199382119539","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-42.4530877765755","-28.2006466477371"
"ID129","5c654e352f6d5e000174bae5","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-78.5788646996472","-63.0433529456285"
"ID130","5c69be6ac3aaf50001c69311","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-81.0770560150248","-65.6970923788233"
"ID131","5c6c08c5d9c1580001ce9aab","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-47.117679823219","-30.2672428708202"
"ID132","5c6c78c4f9951f0001db8bd5","0.484312542963499","0.43","1e-10","0.042858","0.999999","1e-06","1e-10","-34.1990918653705","-20.5487855480383"
"ID133","5c6fc42118508b0001e1e711","4.69117278543542","0.29","1e-10","0.085715","0.999999","1e-06","1e-10","-53.9005821653821","-38.5865676797069"
"ID134","5c7840493454d70001df81ee","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-59.0221455104194","-43.6484652794757"
"ID135","5c790c7e8fbcb100146b6cd8","10","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-78.7854682382389","-59.9609665579662"
"ID136","5c7bc8ea5a669300172440fc","4.69117278543542","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-60.5572157455812","-42.2934176943239"
"ID137","5c7e22dc6babcb0001850548","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-68.2055596225828","-52.6700478685641"
