"","ID","tau","lrc","reset","sal","mem","zeta","dlrc","lp","sumll"
"ID138","5c7fa97a212cc800147dd154","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-61.6836159401365","-44.8331789877377"
"ID139","5c80097d514b730001d662f4","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.1670571966996","-66.787093560498"
"ID140","5c8119441c40f30001b464b1","1.03239118471","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-65.8575472710781","-51.1358924227516"
"ID141","5c823b094c3d3f000182fc57","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-63.8860316290882","-48.6017144295369"
"ID142","5c8831d20d005a00131367d3","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-52.3055551381611","-37.1054730393289"
"ID143","5c8a65405abd6b0016767b56","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-64.5283648815279","-48.9928531275092"
"ID144","5c8bdc00302d6c0016a70680","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-50.8550426575743","-35.5707254580231"
"ID145","5c8cfc3772503f0001e9c965","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.3892970281934","-67.0093333919919"
"ID146","5c8e05e7aa473f00015e5fe7","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-58.0208134154064","-42.8935563422621"
"ID147","5c915492399a770001aece93","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-62.3575859416114","-45.5071489892126"
"ID148","5c92a94f5983f5001664fe08","4.69117278543542","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.9531430847066","-66.2923091206032"
"ID149","5c9776a67610c800126a37a5","4.69117278543542","0.29","1e-10","0.171429","0.999999","1e-06","1e-10","-60.7659424285018","-45.6006033274401"
"ID150","5c9879aed87fc4000155f4ac","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-37.4065895113454","-20.42366178799"
"ID151","5c9e119a881e9800147050da","0.484312542963499","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-44.0784174506117","-29.7838686297571"
"ID152","5ca0de7d8001d50018c69031","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-77.1878113330057","-62.2161023776786"
"ID153","5ca1f3847a29720017ba6e03","0.227199382119539","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-35.0370133858634","-17.7208563046001"
"ID154","5ca3adc28618ca001742161b","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-78.1881467915011","-62.6526350374824"
"ID155","5ca62ff267351c0001a652d4","4.69117278543542","0.29","1e-10","0.171429","0.999999","1e-06","1e-10","-57.7453773435413","-42.5800382424796"
"ID156","5ca730801c2e7b0012af7c21","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-64.9679340148401","-49.996225059513"
"ID157","5ca86b3cb55c520017af9d7e","1.03239118471","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-61.1565044174586","-46.6812727269316"
"ID158","5cab2b8f1a90ba00141fb656","1.03239118471","0.01","1e-10","0.128572","0.999999","1e-06","1e-10","-57.0400064368296","-42.4077146198957"
"ID159","5cade9a95baa830017900127","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-63.7724676247503","-48.2369558707316"
"ID160","5cb1ffae6e3f2c001740dfdf","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-72.6561542484997","-57.7726678770983"
"ID161","5cb237be9d908d000120453a","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-46.1496086266486","-29.1666809032932"
"ID162","5cbf52b5bba52700168cbe22","0.484312542963499","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-66.5408184152254","-51.9998464365714"
"ID163","5cc1a87f3e1f030016f31afe","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-72.7700417228536","-57.2345299688349"
"ID164","5cc4969c3b1b1c0018f9da36","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-72.4511500111736","-56.915638257155"
"ID165","5cc8745ba94e300001fd9687","2.20071021028099","0.29","1e-10","0.128572","0.999999","1e-06","1e-10","-37.5559186739619","-23.6121375475812"
"ID166","5ccafdfd42a8970001f8081f","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-67.6755113943316","-52.3018311633878"
"ID167","5ccdb020ed1c4f001649810e","0.227199382119539","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-25.6524365671066","-10.9917407573939"
"ID168","5cd707bb2e50c90017583e61","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-75.8384724410321","-60.9549860696306"
"ID169","5cd726aab1fa62001a8de584","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-63.9447839545267","-48.571103723583"
"ID170","5cdc5fc0243827001706434f","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-48.0793898605789","-33.8247484344621"
"ID171","5cdd35e1ffe01a001631cd78","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-33.9535310988391","-20.1953669375223"
"ID172","5cdd8bb5fceec6001763f998","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-75.9791176848536","-60.4436059308349"
"ID173","5cdfb5e4b5dcb500011d0d07","0.227199382119539","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-36.5028371093131","-19.1866800280497"
"ID174","5ce50e4054e33d0001189577","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-64.5470443262211","-49.0115325722024"
"ID175","5ce56b5de9e85d00159a0174","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-46.3793498481012","-31.3117585202256"
"ID176","5ce65aa96ad4e50001097566","0.05","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-18.0578151332266","-1.79589647168192"
"ID177","5cee4a172674040001d07c5b","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-63.0378731129157","-47.5023613588971"
"ID178","5ceebfea7a3448001a6dd6ee","2.20071021028099","0.01","1e-10","0.257143","0.999999","1e-06","1e-10","-70.5080698383271","-55.5126791589728"
"ID179","5cf03597beaebd001f0d73ab","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-70.56303301437","-55.6795466429686"
"ID180","5cf0f45706fb120015ecfd2e","2.20071021028099","0.29","1e-10","0.214286","0.999999","1e-06","1e-10","-37.6100164378457","-23.7680558429211"
"ID181","5cf12ddbf17e370017a278c5","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-48.4720399966167","-34.2173985704998"
"ID182","5cf656e90acc8f000147f643","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-76.1511910980014","-60.6156793439827"
"ID183","5cfe7e8bc2acc60001196300","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-58.4269881787726","-44.1723467526557"
"ID184","5d0124a5b35d41000152ded3","1.03239118471","0.71","1e-10","1e-06","0.999999","1e-06","1e-10","-29.4628179794502","-12.2134742447967"
"ID185","5d0a345d8d7a4b000172fb93","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-79.734239797147","-64.3542761609454"
"ID186","5d0b787c4d659a000139110b","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-53.6134713958804","-39.3588299697636"
"ID187","5d0cc9b80622c6000144f1d6","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-61.7977972103072","-46.513480010756"
"ID188","5d124464019fa6000162bfdb","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-75.6391756699459","-60.7556892985445"
"ID189","5d1290103b20b0000102e8e3","2.20071021028099","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-37.023225100847","-23.1040133299166"
"ID190","5d166c21e1c05200198b446d","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-67.7501684461622","-50.8997314937634"
"ID191","5d1bbbd63788ac0019ced5d9","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-48.218941012034","-31.3685040596352"
"ID192","5d1bcfd2e24a990001f327a3","0.106583155826692","0.29","1e-10","0.128572","0.999999","1e-06","1e-10","-30.0127547711475","-16.7672854253061"
"ID193","5d211227bdbc65001b7ace0a","10","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-77.4060692136066","-58.4490767623773"
"ID194","5d24c2146dd2960016cef0b7","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-37.2704008363992","-20.2874731130438"
"ID195","5d26c8bc341630001a250a2f","2.20071021028099","0.29","1e-10","0.128572","0.999999","1e-06","1e-10","-43.9212597878592","-29.9774786614784"
"ID196","5d279cd62c5700001b7ec29a","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-52.1647803994447","-37.0375233263004"
"ID197","5d285eb5324974001908c626","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-68.6174780516653","-53.0819662976466"
"ID198","5d2e2703a845b0001b439e08","1.03239118471","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-34.4275013341874","-20.8311686959456"
"ID199","5d37763a3cedb40001afecf5","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-78.3482539894094","-62.9682903532079"
"ID200","5d39bb499f4f3f00158298f2","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-45.4771512178324","-31.2225097917156"
"ID201","5d3e019693eb2d0015788062","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-43.2766780614628","-29.022036635346"
"ID202","5d404c6a584cc80017e81001","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-48.9522744722488","-33.7521923734166"
"ID203","5d442c09f7386b001a3c2477","0.484312542963499","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-25.9197258436458","-12.4019102972701"
"ID204","5d45521afdaaad00010ec185","2.20071021028099","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-39.4560002827637","-25.2610246019154"
"ID205","5d4b334b1813250017d3c6cc","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-58.3271677947939","-43.0428505952426"
"ID206","5d4b4d093574500018795f36","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-79.9440927199691","-64.5641290837676"
"ID207","5d53346807e8740015e561ed","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-36.8382853940573","-19.8553576707019"
"ID208","5d53b3d1e8e8960018276120","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-45.6289683114318","-28.778531359033"
"ID209","5d53dbf16b0cf6001646dbf1","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-76.3296384312096","-61.3579294758825"
"ID210","5d5402545aef9b000118fd50","4.69117278543542","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-47.6815414497788","-32.4814593509465"
"ID211","5d5560c71f535a00183d28e5","0.484312542963499","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-57.1627348764006","-42.4599313746717"
"ID212","5d5582d5c20c10001aaba934","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-39.7080728274196","-25.4534314013028"
"ID213","5d55a320d9450800172506d4","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-77.5096311948661","-62.2914990817395"
"ID214","5d55aa13b125380018b5562c","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-33.6691025448634","-20.4691586004217"
"ID215","5d55b289e04e1c0017f5e602","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-74.3807657854078","-59.4090568300807"
"ID216","5d5728471da7d10001a1a600","0.484312542963499","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-69.8766987444265","-55.1738952426975"
"ID217","5d5c1fec3690e5000187b4fb","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-75.3594474922885","-59.8239357382698"
"ID218","5d61aca9b242ef0001f125b3","0.227199382119539","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-22.964583069228","-8.4657187825902"
"ID219","5d62e42406ed5a001a2084f3","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-42.6367955533278","-25.786358600929"
"ID220","5d643088609a430016a3d990","4.69117278543542","0.29","1e-10","0.257143","0.999999","1e-06","1e-10","-56.6301556487699","-41.5388825968671"
"ID221","5d654a1e855d77001b10dd92","2.20071021028099","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-36.1239175475702","-22.1204706759208"
"ID222","5d692e475719130015a805cd","2.20071021028099","0.29","1e-10","0.214286","0.999999","1e-06","1e-10","-46.1962787931501","-32.3543181982255"
"ID223","5d6ae722c160f500175daa9b","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-31.4719975381353","-18.2720535936937"
"ID224","5d6eb1ba1c79b20001fa0386","4.69117278543542","0.29","1e-10","0.085715","0.999999","1e-06","1e-10","-48.669180362822","-33.3551658771468"
"ID225","5d73e916515c8b001bed0c5d","2.20071021028099","0.15","1e-10","0.257143","0.999999","1e-06","1e-10","-36.6872681632112","-22.8171996939416"
"ID226","5d756ce093a94500163ea6a2","1.03239118471","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-28.5829809568163","-12.0965304982609"
"ID227","5d7693e9e8e18a0001f28996","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-77.6460485934947","-62.110536839476"
"ID228","5d78a675b04edb001a089150","4.69117278543542","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-53.2556126473307","-37.7797666385806"
"ID229","5d7e1d2db5bd580017d11cec","4.69117278543542","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.6598548663661","-65.9990209022627"
"ID230","5d8154a847a45600189e8f35","4.69117278543542","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-83.1594875068344","-66.498653542731"
"ID231","5d825b9b812e1e001556261f","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-68.8660053119758","-53.3304935579571"
"ID232","5d85994fbbc0800019390cd4","0.484312542963499","0.43","1e-10","0.042858","0.999999","1e-06","1e-10","-32.0100535137016","-18.3597471963694"
"ID233","5d87eff52447650001f822cc","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-76.8755263395001","-61.6573942263735"
"ID234","5d893e68f58b17000184839f","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-34.7679850394234","-21.5680410949818"
"ID235","5d8f59c15231090015a7ae08","4.69117278543542","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-81.0555193228281","-64.8029400395992"
"ID236","5d91a7c336017c00192a6755","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-45.6114324511243","-28.7609954987255"
"ID237","5d921a2e34fc500016df8e5f","0.227199382119539","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-31.4689296613337","-18.268985716892"
"ID238","5d9d0791f03a95001726799d","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-63.6272584458624","-48.0917466918437"
"ID239","5d9e1929203419001625df07","1.03239118471","0.71","1e-10","1e-06","0.999999","1e-06","1e-10","-32.869635572071","-15.6202918374175"
"ID240","5da1eb441b927a00168d2a30","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-51.6179449223969","-37.3633034962801"
"ID241","5da4ae83fa7abd0016ddd461","4.69117278543542","0.29","1e-10","0.171429","0.999999","1e-06","1e-10","-66.7865168871797","-51.621177786118"
"ID242","5db1b1b6cd3329000ba29566","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-45.7250963715406","-30.657505043665"
"ID243","5db1f2b6dd5fa3000a552ede","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-72.4732499358395","-57.5897635644381"
"ID244","5db4ab7dc8f993000c9d2c5f","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-77.3676486002382","-61.8321368462195"
"ID245","5db6ec97d9b41d000b2464eb","1.03239118471","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-46.9473655362518","-30.5934058486531"
"ID246","5db8a8831d5c1a000e5bc4dc","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-76.798487145885","-61.9150007744835"
"ID247","5db92f4d8e9761000d7d7a8b","4.69117278543542","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-60.9851635953375","-45.5093175865874"
"ID248","5dba043b732f4c0607595ec5","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-72.7021969931662","-57.574939920022"
"ID249","5dbab43dfbc6bc0d009d6c6e","4.69117278543542","0.15","1e-10","0.214286","0.999999","1e-06","1e-10","-56.3817930491453","-41.1992963810502"
"ID250","5dbc7bb351b13c22d8df0fe8","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-80.1854736072653","-64.8055099710638"
"ID251","5dc486da84799a35fbede98d","0.106583155826692","0.43","1e-10","0.085715","0.999999","1e-06","1e-10","-41.2288465926111","-27.7615234444205"
"ID252","5dc6eadc4d2b664e2ce6d319","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-72.1352807648161","-56.5997690107974"
"ID253","5dcb2bb4ae3b3b814b5fe27d","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-58.042827070069","-42.9155699969248"
"ID254","5dcd4ccd0ee193016c26409f","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-66.8786819186328","-51.3431701646141"
"ID255","5dcd9694f6695d000b53f502","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-80.6782707461452","-65.2983071099436"
"ID256","5dce556e93729c0dd37e570c","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-73.5448708958553","-58.0093591418366"
"ID257","5dceb951381b67000e06113d","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-62.1164917736232","-46.5809800196045"
"ID258","5dcfe05d1228d90e53724347","0.227199382119539","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-41.2006387110851","-23.8844816298217"
"ID259","5dd28e64cf08aa2982532314","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-82.5238449296403","-67.1438812934388"
"ID260","5dd5b7e718beb657ad00c313","4.69117278543542","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-70.6043341562898","-52.3405361050326"
"ID261","5ddcf7679dac7cc5e395cd35","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-81.2053555887404","-65.8253919525389"
"ID262","5ddd9d0e40460ecfff653cb5","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-65.1280015475869","-49.5924897935682"
"ID263","5de1868db28cf71e8fd77007","10","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-73.1624577843268","-54.3379561040541"
"ID264","5de25cb38fde1c290dfa32a6","4.69117278543542","0.29","1e-10","0.042858","0.999999","1e-06","1e-10","-59.8269633014993","-44.3511172927493"
"ID265","5de960efa71cf402386bfe40","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-57.6863306640747","-40.8358937116759"
"ID266","5deaabae61513d1d56c7e52a","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-60.5460212013847","-45.172340970441"
"ID267","5dead046603cf720024181d8","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-45.770808695641","-30.6435516224967"
"ID268","5dece22f8b5f8b3a80ab3f54","2.20071021028099","0.01","1e-10","0.085715","0.999999","1e-06","1e-10","-78.4957399424299","-63.2776078293033"
"ID269","5def763ea484415fecd02221","0.484312542963499","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-29.1902499999922","-12.9573074367974"
"ID270","5df77c5f69a11751a9e8c6d7","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-75.3799212714332","-60.4082123161061"
"ID271","5dfa688379f2fa7b1cdf180f","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-80.2462259189407","-64.8662622827391"
"ID272","5dfa781efa3d107cc08854a9","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-76.8314345627533","-61.4514709265518"
"ID273","5e0125d4c12a36d0d6b84b93","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-40.5467027178677","-26.2920612917509"
"ID274","5e06174335a7a5006aa0df98","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-42.6042439310039","-28.3496025048871"
"ID275","5e067f13e632e10594734ab5","2.20071021028099","0.01","1e-10","0.3","0.999999","1e-06","1e-10","-76.8586749704304","-61.8869660151033"
